date,zone,demand_mw,load_shed_mw
01-01-2024,Dhaka,3505,0
01-01-2024,Chittagong,985,0
01-01-2024,Khulna,1138,0
01-01-2024,Rajshahi,929,0
01-01-2024,Comilla,830,0
01-01-2024,Mymensingh,773,0
01-01-2024,Sylhet,319,0
01-01-2024,Barisal,281,0
01-01-2024,Rangpur,655,0
02-01-2024,Dhaka,3705,0
02-01-2024,Chittagong,986,0
02-01-2024,Khulna,1152,0
02-01-2024,Rajshahi,966,0
02-01-2024,Comilla,809,0
02-01-2024,Mymensingh,790,0
02-01-2024,Sylhet,377,0
02-01-2024,Barisal,278,0
02-01-2024,Rangpur,690,0
03-01-2024,Dhaka,3739,0
03-01-2024,Chittagong,1066,0
03-01-2024,Khulna,1141,0
03-01-2024,Rajshahi,945,0
03-01-2024,Comilla,813,0
03-01-2024,Mymensingh,800,0
03-01-2024,Sylhet,369,0
03-01-2024,Barisal,272,0
03-01-2024,Rangpur,671,0
04-01-2024,Dhaka,3740,0
04-01-2024,Chittagong,1070,0
04-01-2024,Khulna,1149,0
04-01-2024,Rajshahi,945,0
04-01-2024,Comilla,819,0
04-01-2024,Mymensingh,794,0
04-01-2024,Sylhet,368,0
04-01-2024,Barisal,278,0
04-01-2024,Rangpur,690,0
05-01-2024,Dhaka,3015,0
05-01-2024,Chittagong,938,0
05-01-2024,Khulna,1073,0
05-01-2024,Rajshahi,898,0
05-01-2024,Comilla,785,0
05-01-2024,Mymensingh,779,0
05-01-2024,Sylhet,344,0
05-01-2024,Barisal,274,0
05-01-2024,Rangpur,616,0
06-01-2024,Dhaka,3039,0
06-01-2024,Chittagong,853,0
06-01-2024,Khulna,1083,0
06-01-2024,Rajshahi,914,0
06-01-2024,Comilla,785,0
06-01-2024,Mymensingh,784,0
06-01-2024,Sylhet,349,0
06-01-2024,Barisal,281,0
06-01-2024,Rangpur,628,0
07-01-2024,Dhaka,2232,0
07-01-2024,Chittagong,611,0
07-01-2024,Khulna,967,0
07-01-2024,Rajshahi,814,0
07-01-2024,Comilla,711,0
07-01-2024,Mymensingh,695,0
07-01-2024,Sylhet,311,0
07-01-2024,Barisal,258,0
07-01-2024,Rangpur,523,0
08-01-2024,Dhaka,3248,0
08-01-2024,Chittagong,926,0
08-01-2024,Khulna,1127,0
08-01-2024,Rajshahi,951,0
08-01-2024,Comilla,803,0
08-01-2024,Mymensingh,797,0
08-01-2024,Sylhet,359,0
08-01-2024,Barisal,290,0
08-01-2024,Rangpur,645,0
09-01-2024,Dhaka,3442,0
09-01-2024,Chittagong,907,0
09-01-2024,Khulna,1130,0
09-01-2024,Rajshahi,958,0
09-01-2024,Comilla,813,0
09-01-2024,Mymensingh,813,0
09-01-2024,Sylhet,353,0
09-01-2024,Barisal,275,0
09-01-2024,Rangpur,649,0
10-01-2024,Dhaka,3625,0
10-01-2024,Chittagong,972,0
10-01-2024,Khulna,1136,0
10-01-2024,Rajshahi,973,0
10-01-2024,Comilla,822,0
10-01-2024,Mymensingh,848,0
10-01-2024,Sylhet,353,0
10-01-2024,Barisal,285,0
10-01-2024,Rangpur,680,0
