date,zone,demand_mw,load_shed_mw
01-01-2025,Dhaka,3687,0
01-01-2025,Chittagong,1057,0
01-01-2025,Khulna,1183,0
01-01-2025,Rajshahi,931,0
01-01-2025,Comilla,875,0
01-01-2025,Mymensingh,823,0
01-01-2025,Sylhet,364,0
01-01-2025,Barisal,293,0
01-01-2025,Rangpur,722,0
02-01-2025,Dhaka,3873,0
02-01-2025,Chittagong,1100,0
02-01-2025,Khulna,1174,0
02-01-2025,Rajshahi,940,0
02-01-2025,Comilla,860,0
02-01-2025,Mymensingh,824,0
02-01-2025,Sylhet,355,0
02-01-2025,Barisal,295,0
02-01-2025,Rangpur,666,0
03-01-2025,Dhaka,3062,0
03-01-2025,Chittagong,975,0
03-01-2025,Khulna,1063,0
03-01-2025,Rajshahi,872,0
03-01-2025,Comilla,795,0
03-01-2025,Mymensingh,802,0
03-01-2025,Sylhet,343,0
03-01-2025,Barisal,277,0
03-01-2025,Rangpur,617,0
04-01-2025,Dhaka,3798,0
04-01-2025,Chittagong,1006,0
04-01-2025,Khulna,1164,0
04-01-2025,Rajshahi,971,0
04-01-2025,Comilla,866,0
04-01-2025,Mymensingh,842,67
04-01-2025,Sylhet,396,0
04-01-2025,Barisal,301,0
04-01-2025,Rangpur,658,0
05-01-2025,Dhaka,4031,0
05-01-2025,Chittagong,1084,0
05-01-2025,Khulna,1223,0
05-01-2025,Rajshahi,964,0
05-01-2025,Comilla,893,0
05-01-2025,Mymensingh,910,44
05-01-2025,Sylhet,371,0
05-01-2025,Barisal,287,0
05-01-2025,Rangpur,711,0
06-01-2025,Dhaka,3996,0
06-01-2025,Chittagong,1089,0
06-01-2025,Khulna,1214,0
06-01-2025,Rajshahi,985,0
06-01-2025,Comilla,880,0
06-01-2025,Mymensingh,867,0
06-01-2025,Sylhet,368,0
06-01-2025,Barisal,297,0
06-01-2025,Rangpur,703,0
07-01-2025,Dhaka,3944,0
07-01-2025,Chittagong,1083,0
07-01-2025,Khulna,1186,0
07-01-2025,Rajshahi,984,0
07-01-2025,Comilla,895,0
07-01-2025,Mymensingh,870,0
07-01-2025,Sylhet,371,0
07-01-2025,Barisal,295,0
07-01-2025,Rangpur,651,0
08-01-2025,Dhaka,3918,0
08-01-2025,Chittagong,1004,0
08-01-2025,Khulna,1195,0
08-01-2025,Rajshahi,989,0
08-01-2025,Comilla,879,0
08-01-2025,Mymensingh,865,0
08-01-2025,Sylhet,365,0
08-01-2025,Barisal,297,0
08-01-2025,Rangpur,669,0
09-01-2025,Dhaka,3938,0
