Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.5597014925373134,0.10077519379844961,0.8666666666666667,0.18055555555555555,0.778129117259552,0.1393276898238264
Random Forest,0.6417910447761194,0.10679611650485436,0.7333333333333333,0.1864406779661017,0.7612648221343874,0.15467080747401707
XGBoost,0.8246268656716418,0.11904761904761904,0.3333333333333333,0.17543859649122806,0.7346508563899868,0.2527455954030517
